workerid,internal_node_id,response,rt,stimulus,time_elapsed,trial_index,scales,within_group,exp_group
23,0.0-4.0-0.0,0,13184,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,63024,4,always,1,1
23,0.0-4.0-0.8,0,4536,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,158618,12,always,1,1
24,0.0-4.0-0.5,0,12503,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,98042,9,always,1,1
24,0.0-4.0-0.8,0,7464,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,124707,12,always,1,1
25,0.0-4.0-0.1,0,6207,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,39869,5,always,1,1
25,0.0-4.0-0.9,0,5222,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,87486,13,always,1,1
26,0.0-4.0-0.1,0,8788,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,55905,5,always,1,1
26,0.0-4.0-0.9,0,4542,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,103685,13,always,1,1
27,0.0-4.0-0.2,0,9066,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,124965,6,always,1,1
27,0.0-4.0-0.8,0,5231,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,153115,12,always,1,1
28,0.0-4.0-0.0,0,26128,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,202380,4,always,1,1
28,0.0-4.0-0.11,0,9563,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,313253,15,always,1,1
29,0.0-4.0-0.0,0,18448,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,95304,4,always,1,1
29,0.0-4.0-0.12,1,7158,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,252575,16,always,1,1
30,0.0-4.0-0.4,0,5663,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,42046,8,always,1,1
30,0.0-4.0-0.12,0,2046,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,62571,16,always,1,1
32,0.0-4.0-0.6,0,20868,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,158055,10,always,1,1
32,0.0-4.0-0.12,0,111263,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,360807,16,always,1,1
33,0.0-4.0-0.6,0,6025,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,94606,10,always,1,1
33,0.0-4.0-0.11,0,4621,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,121594,15,always,1,1
6,0.0-5.0-0.11,0,8686,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,220209,29,always,2,3
6,0.0-5.0-0.18,0,5383,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,260137,36,always,2,3
7,0.0-5.0-0.10,0,1221,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,81802,28,always,2,3
7,0.0-5.0-0.22,0,942,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,103325,40,always,2,3
8,0.0-5.0-0.6,0,3556,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,193486,24,always,2,3
8,0.0-5.0-0.16,0,3540,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,239029,34,always,2,3
11,0.0-5.0-0.6,0,3911,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,202932,24,always,2,3
11,0.0-5.0-0.15,0,2976,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,242217,33,always,2,3
12,0.0-5.0-0.11,0,5332,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,207851,29,always,2,3
12,0.0-5.0-0.19,0,4915,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,265767,37,always,2,3
13,0.0-5.0-0.2,0,6788,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,199374,20,always,2,3
13,0.0-5.0-0.13,0,6856,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,268670,31,always,2,3
14,0.0-5.0-0.4,0,12463,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,211821,22,always,2,3
14,0.0-5.0-0.19,0,9007,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,332175,37,always,2,3
15,0.0-5.0-0.5,0,4218,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,101430,23,always,2,3
15,0.0-5.0-0.25,0,3525,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,165982,43,always,2,3
16,0.0-5.0-0.10,0,2783,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,144763,28,always,2,3
16,0.0-5.0-0.13,0,3032,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,154091,31,always,2,3
17,0.0-5.0-0.9,0,3625,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,175546,27,always,2,3
17,0.0-5.0-0.18,0,3270,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,213540,36,always,2,3
18,0.0-5.0-0.8,0,11210,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,207109,26,always,2,3
18,0.0-5.0-0.23,0,3834,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,274359,41,always,2,3
20,0.0-5.0-0.5,0,1374,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,79072,23,always,2,3
20,0.0-5.0-0.14,0,3622,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,104168,32,always,2,3
21,0.0-5.0-0.10,0,4236,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,128088,28,always,2,3
21,0.0-5.0-0.19,0,4704,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,158716,37,always,2,3
22,0.0-5.0-0.8,0,3725,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,184016,26,always,2,3
22,0.0-5.0-0.23,0,2740,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,267601,41,always,2,3
23,0.0-5.0-0.6,0,6222,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,220352,24,always,2,3
23,0.0-5.0-0.17,0,1595,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,244950,35,always,2,3
24,0.0-5.0-0.12,0,6064,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,250194,30,always,2,3
24,0.0-5.0-0.20,0,12287,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,302178,38,always,2,3
25,0.0-5.0-0.7,0,12330,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,164447,25,always,2,3
25,0.0-5.0-0.17,0,13673,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,231397,35,always,2,3
26,0.0-5.0-0.0,0,13582,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,137702,18,always,2,3
26,0.0-5.0-0.17,0,4301,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,245863,35,always,2,3
27,0.0-5.0-0.9,0,5242,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,249296,27,always,2,3
27,0.0-5.0-0.25,0,4525,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,340071,43,always,2,3
28,0.0-5.0-0.9,0,11363,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,440725,27,always,2,3
28,0.0-5.0-0.17,1,9748,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,519267,35,always,2,3
29,0.0-5.0-0.7,0,14384,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,337311,25,always,2,3
29,0.0-5.0-0.23,0,8440,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,478967,41,always,2,3
30,0.0-5.0-0.7,0,2124,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,91025,25,always,2,3
30,0.0-5.0-0.22,1,1819,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,120081,40,always,2,3
32,0.0-5.0-0.8,0,2010,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,473413,26,always,2,3
32,0.0-5.0-0.18,1,6842,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,584570,36,always,2,3
33,0.0-5.0-0.10,0,9444,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,214037,28,always,2,3
33,0.0-5.0-0.20,0,4429,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,282134,38,always,2,3
6,0.0-5.0-0.10,1,2538,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,211521,28,always,2,2
6,0.0-5.0-0.14,0,15643,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,244404,32,always,2,2
7,0.0-5.0-0.1,0,3346,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,57498,19,always,2,2
7,0.0-5.0-0.17,0,972,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,93159,35,always,2,2
8,0.0-5.0-0.1,0,4227,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,171810,19,always,2,2
8,0.0-5.0-0.19,0,3809,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,247802,37,always,2,2
11,0.0-5.0-0.11,0,9217,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,226883,29,always,2,2
11,0.0-5.0-0.20,0,4692,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,263360,38,always,2,2
12,0.0-5.0-0.8,0,7836,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,192016,26,always,2,2
12,0.0-5.0-0.15,0,5929,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,233613,33,always,2,2
13,0.0-5.0-0.11,0,13005,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,255367,29,always,2,2
13,0.0-5.0-0.18,0,5729,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,293747,36,always,2,2
14,0.0-5.0-0.10,0,11085,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,262381,28,always,2,2
14,0.0-5.0-0.21,0,11913,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,359567,39,always,2,2
15,0.0-5.0-0.2,0,4058,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,88618,20,always,2,2
15,0.0-5.0-0.15,0,3089,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,136506,33,always,2,2
16,0.0-5.0-0.7,0,3600,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,135203,25,always,2,2
16,0.0-5.0-0.18,0,3727,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,169611,36,always,2,2
17,0.0-5.0-0.8,0,3860,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,171921,26,always,2,2
17,0.0-5.0-0.25,0,3242,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,241649,43,always,2,2
18,0.0-5.0-0.11,0,4597,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,220425,29,always,2,2
18,0.0-5.0-0.14,0,3288,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,246573,32,always,2,2
20,0.0-5.0-0.4,0,3582,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,77696,22,always,2,2
20,0.0-5.0-0.23,0,3327,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,130208,41,always,2,2
21,0.0-5.0-0.9,0,4067,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,123852,27,always,2,2
21,0.0-5.0-0.14,0,5160,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,143865,32,always,2,2
22,0.0-5.0-0.4,0,6279,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,161531,22,always,2,2
22,0.0-5.0-0.14,0,8837,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,212592,32,always,2,2
23,0.0-5.0-0.12,0,2597,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,233965,30,always,2,2
23,0.0-5.0-0.15,0,2444,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,241477,33,always,2,2
24,0.0-5.0-0.8,0,12192,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,235641,26,always,2,2
24,0.0-5.0-0.15,0,2783,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,267698,33,always,2,2
25,0.0-5.0-0.10,0,9073,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,181653,28,always,2,2
25,0.0-5.0-0.25,0,6933,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,278380,43,always,2,2
26,0.0-5.0-0.2,0,5228,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,150417,20,always,2,2
26,0.0-5.0-0.15,0,1989,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,236611,33,always,2,2
27,0.0-5.0-0.1,0,6589,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,199203,19,always,2,2
27,0.0-5.0-0.22,0,4302,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,322140,40,always,2,2
28,0.0-5.0-0.0,0,11166,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,344468,18,always,2,2
28,0.0-5.0-0.16,1,10730,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,509518,34,always,2,2
29,0.0-5.0-0.11,0,23847,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,389727,29,always,2,2
29,0.0-5.0-0.15,0,18424,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,437415,33,always,2,2
30,0.0-5.0-0.12,0,1306,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,101749,30,always,2,2
30,0.0-5.0-0.23,0,1556,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,121638,41,always,2,2
32,0.0-5.0-0.6,0,2612,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,468835,24,always,2,2
32,0.0-5.0-0.17,0,1348,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,577726,35,always,2,2
33,0.0-5.0-0.9,0,6963,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,204593,27,always,2,2
33,0.0-5.0-0.23,0,3431,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,296566,41,always,2,2
6,0.0-4.0-0.5,1,5925,<p style='font-size: 25px;'>Rowan is attractive. <br>Would you conclude that Rowan is not stunning? </p>,70699,9,attractive,1,1
