workerid,proliferate.condition,internal_node_id,response,rt,stimulus,success,time_elapsed,trial_index,trial_type,error
27,Condition 1,0.0-4.0-0.13,0,1265,<p style='font-size: 50px;'>Please choose 'Yes' for this question.</p>,,180882,17,html-button-response,
27,Condition 1,0.0-5.0-0.0,0,11725,<p style='font-size: 25px;'>A: Did Daphne eat some of the cookies? <br>B: Daphne eats some of the cookies. <br>Would you conclude that Daphne did not eat all of the cookies?</p>,,192611,18,html-button-response,
27,Condition 1,0.0-5.0-0.1,0,6589,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,,199203,19,html-button-response,
27,Condition 1,0.0-5.0-0.2,0,6925,<p style='font-size: 25px;'>A: Is the box small? <br>B: The box is small. <br>Would you conclude that the box is not tiny?</p>,,206133,20,html-button-response,
27,Condition 1,0.0-5.0-0.3,1,11386,<p style='font-size: 25px;'>A: Is Rowan stunning? <br>B: Rowan is attractive. <br>Would you conclude that Rowan is not stunning?</p>,,217522,21,html-button-response,
27,Condition 1,0.0-5.0-0.4,0,6209,<p style='font-size: 25px;'>A: Is the problem hard? <br>B: The problem is hard. <br>Would you conclude that the problem is not unsolvable? </p>,,223735,22,html-button-response,
27,Condition 1,0.0-5.0-0.5,0,7430,<p style='font-size: 25px;'>A: Is the box tiny? <br>B: The box is small. <br>Would you conclude that the box is not tiny? </p>,,231167,23,html-button-response,
27,Condition 1,0.0-5.0-0.6,1,6175,<p style='font-size: 25px;'>A: Is the weather cold? <br>B: The weather is cool. <br>Would you conclude that the weather is not cold? </p>,,237347,24,html-button-response,
27,Condition 1,0.0-5.0-0.7,1,1356,<p style='font-size: 50px;'>Please choose 'No' for this question.</p>,,238706,25,html-button-response,
27,Condition 1,0.0-5.0-0.8,0,5340,<p style='font-size: 25px;'>A: Did Daphne eat all of the cookies? <br>B: Daphne eats some of the cookies. <br>Would you conclude that Daphne did not eat all of the cookies?</p>,,244052,26,html-button-response,
27,Condition 1,0.0-5.0-0.9,0,5242,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,,249296,27,html-button-response,
27,Condition 1,0.0-5.0-0.10,0,4175,<p style='font-size: 25px;'>A: Is the problem unsolvable? <br>B: The problem is hard. <br>Would you conclude that the problem is not unsolvable? </p>,,253478,28,html-button-response,
27,Condition 1,0.0-5.0-0.11,0,8567,<p style='font-size: 25px;'>A: Is Rowan attractive? <br>B: Rowan is attractive. <br>Would you conclude that Rowan is not stunning?</p>,,262048,29,html-button-response,
27,Condition 1,0.0-5.0-0.12,1,3424,<p style='font-size: 25px;'>A: Is the weather cool? <br>B: The weather is cool. <br>Would you conclude that the weather is not cold?</p>,,265476,30,html-button-response,
27,Condition 1,0.0-5.0-0.13,1,8150,<p style='font-size: 25px;'>A: Is the weather cool? <br>B: The weather is cool. <br>Would you conclude that the weather is not cold?</p>,,273631,31,html-button-response,
27,Condition 1,0.0-5.0-0.14,0,3285,<p style='font-size: 25px;'>A: Is the problem hard? <br>B: The problem is hard. <br>Would you conclude that the problem is not unsolvable? </p>,,276919,32,html-button-response,
27,Condition 1,0.0-5.0-0.15,0,4939,<p style='font-size: 25px;'>A: Did Daphne eat all of the cookies? <br>B: Daphne eats some of the cookies. <br>Would you conclude that Daphne did not eat all of the cookies?</p>,,281866,33,html-button-response,
27,Condition 1,0.0-5.0-0.16,0,6250,<p style='font-size: 25px;'>A: Is Rowan attractive? <br>B: Rowan is attractive. <br>Would you conclude that Rowan is not stunning?</p>,,288122,34,html-button-response,
27,Condition 1,0.0-5.0-0.17,0,10146,<p style='font-size: 25px;'>A: Is the box small? <br>B: The box is small. <br>Would you conclude that the box is not tiny?</p>,,298274,35,html-button-response,
27,Condition 1,0.0-5.0-0.18,0,5286,<p style='font-size: 25px;'>A: Is the box tiny? <br>B: The box is small. <br>Would you conclude that the box is not tiny? </p>,,303562,36,html-button-response,
27,Condition 1,0.0-5.0-0.19,1,6009,<p style='font-size: 25px;'>A: Is the weather cold? <br>B: The weather is cool. <br>Would you conclude that the weather is not cold? </p>,,309576,37,html-button-response,
27,Condition 1,0.0-5.0-0.20,0,6294,<p style='font-size: 25px;'>A: Is the problem unsolvable? <br>B: The problem is hard. <br>Would you conclude that the problem is not unsolvable? </p>,,315875,38,html-button-response,
27,Condition 1,0.0-5.0-0.21,1,1958,<p style='font-size: 50px;'>Please choose 'No' for this question.</p>,,317836,39,html-button-response,
27,Condition 1,0.0-5.0-0.22,0,4302,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,,322140,40,html-button-response,
27,Condition 1,0.0-5.0-0.23,0,5005,<p style='font-size: 25px;'>A: Is Rowan stunning? <br>B: Rowan is attractive. <br>Would you conclude that Rowan is not stunning?</p>,,327148,41,html-button-response,
27,Condition 1,0.0-5.0-0.24,0,8390,<p style='font-size: 25px;'>A: Did Daphne eat some of the cookies? <br>B: Daphne eats some of the cookies. <br>Would you conclude that Daphne did not eat all of the cookies?</p>,,335542,42,html-button-response,
27,Condition 1,0.0-5.0-0.25,0,4525,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,,340071,43,html-button-response,
27,Condition 1,0.0-6.0,,,,TRUE,341147,44,fullscreen,
27,Condition 1,0.0-7.0,{'Comment': 'No problems or technical difficulties encountered and there was nothing I found odd.  The study was very interesting and thank you for allowing me to take part.'},127727,,,468899,45,survey-text,
27,Condition 1,0.0-8.0,,,"<p style=""font-size: 25px;"">Thank you for your participation.<br>This is the end of the experiment and you will now be redirected to Prolific.</p>",,472906,46,html-keyboard-response,
26,Condition 1,0.0-0.0,1,23230,"<div class=""consent-form""><p> <img src=""header.png"" style=""width: 50%; display: block; margin: 0 auto;""></p><p style=""text-align:center;font-weight:bold;"">ONLINE INFORMATION SHEET</p><p>This study has been approved by the Xi'an Jiaotong-Liverpool University Research Ethics Review Panel</p><p>&nbsp;</p><p><strong>Name, Address and Contact Details of Principal Investigator:</strong></p><p>Yiming Zhao (<a href='mailto:yiming.zhao21@student.xjtlu.edu.cn'>yiming.zhao21@student.xjtlu.edu.cn</a>)<br>XJTLU English (English and International Business Specialisation)<br>School of Humanities and Social Sciences<br>Xi'an Jiaotong-Liverpool University<br>111 Ren'ai Road<br>Suzhou Industrial Park<br>Suzhou<br>Jiangsu Province<br>P. R. China<br>215123</p><p>&nbsp;</p><p>You are being invited to participate in a research study. Before you decide whether to participate, it is important for you to understand why the research is being done and what it will involve. Please take time to read the following information carefully and feel free to ask us if you would like more information or if there is anything that you do not understand. Please also feel free to discuss this with your friends, relatives, and doctor [where relevant] if you wish. We would like to stress that you do not have to accept this invitation and should only agree to take part if you want to.</p><p>&nbsp;</p><p><strong>What is the purpose of the study?</strong></p><p>This study investigates how people understand certain linguistic expressions in English and Chinese, aiming to contribute to a better understanding of language and communication across cultures.</p><p>&nbsp;</p><p><strong>Why have I been chosen to take part?</strong></p><p>You have been invited to participate because the study focuses on understanding how native speakers of English and Chinese interpret linguistic expressions. We are seeking individuals who meet this criterion to ensure the study's findings are accurate and meaningful. Approximately 100 participants will take part in this research.</p><p>&nbsp;</p><p><strong>Do I have to take part?</strong></p><p>Participation is voluntary and participants are free to withdraw at any time without explanation and without incurring a disadvantage.</p><p>&nbsp;</p><p><strong>What will happen if I take part?</strong></p><p>If you decide to take part in this study, you will complete a series of online tasks. These tasks involve reading sentences or phrases and answering simple questions about their meaning.</p><p>&nbsp;</p><p>The study will take approximately 10 minutes to complete.Your main responsibility as a participant is to follow the instructions provided on the screen and answer the questions as accurately as possible.</p><p>&nbsp;</p><p><strong>How will my data be used?</strong></p><p>The University processes personal data as part of its research and teaching activities in accordance with the lawful basis of public task, and in accordance with the University's purpose of advancing education, learning and research for the public benefit. </p><p>&nbsp;</p><p>Under the 'Data Security Law of the People's Republic of China' and the 'Personal Information Protection Law of the People's Republic of China', the University acts as the Data Controller for personal data collected as part of the University's research. [Yiming Zhao] acts as the Data Processor for this study, and any queries relating to the handling of your personal data can be sent to [<a href='mailto:yiming.zhao21@student.xjtlu.edu.cn'>yiming.zhao21@student.xjtlu.edu.cn</a>]. </p><p>&nbsp;</p><p><strong>Expenses and / or payments</strong></p><p>Participants do not need to pay any expenses to take part in this study. You will receive a small payment as a token of appreciation for your time and effort upon completing the study.</p><p>&nbsp;</p><p><strong>Are there any risks in taking part?</strong></p><p>There are no significant risks or disadvantages associated with participating in this study. If you should experience any discomfort or disadvantage as part of the research, please make it known to the researcher(s) immediately.</p><p>&nbsp;</p><p><strong>Are there any benefits in taking part?</strong></p><p>There are no direct benefits to you for participating in this study. However, your participation will contribute to a better understanding of language and communication, which may benefit future research in this area.</p><p>&nbsp;</p><p><strong>What will happen to the results of the study?</strong></p><p>The results of this study will be analyzed to address the research questions. Participants will not be identifiable from the results, as all data will be anonymized.</p><p>If you would like to receive a summary of the findings, please let the researcher know, and this can be provided to you after the study is completed.</p><p>&nbsp;</p><p><strong>What will happen if I want to stop taking part?</strong></p><p>You can withdraw at any time, without explanation. However, as the data is anonymous at the point of collection, it will not be possible to remove your data after it has been collected.</p><p>&nbsp;</p><p><strong>What if I am unhappy or if there is a problem?</strong></p><p>If you are unhappy, or if there is a problem, please feel free to let us know by contacting [<a href='mailto:yiming.zhao21@student.xjtlu.edu.cn'>yiming.zhao21@student.xjtlu.edu.cn</a>] and we will try to help. If you remain unhappy or have a complaint which you feel you cannot come to us with then you should contact the Chair of the University Research Ethics Review Panel at <a href='mailto:ethics@xjtlu.edu.cn'>ethics@xjtlu.edu.cn</a>. When contacting the University Research Ethics Review Panel administrators, please provide details of the name or description of the study (so that it can be identified), the researcher(s) involved, and the details of the complaint you wish to make.</p><p>&nbsp;</p></div>",,23252,0,html-button-response,
26,Condition 1,0.0-1.0,1,2760,"<div class=""consent-form""><p> <img src=""header.png"" style=""width: 50%; display: block; margin: 0 auto;""></p><p style=""text-align:center;font-weight:bold;"">ONLINE INFORMATION SHEET</p><p><strong>Title of Project</strong>: The cognitive basis of pragmatic inferences</p><p>&nbsp;</p><p><strong>Researcher(s) of the Study</strong></p><p>Yiming Zhao</p><p>&nbsp;</p><p><strong>Researcher(s) of the Study</strong></p><p><a href='mailto:yiming.zhao21@student.xjtlu.edu.cn'>yiming.zhao21@student.xjtlu.edu.cn</a><br>XJTLU English (English and International Business Specialisation)<br>School of Humanities and Social Sciences<br>Xi'an Jiaotong-Liverpool University </p><p>&nbsp;</p><p><strong>Research Ethics Approval</strong></p><p>This research project has received approval from the University Research Ethics Review Panel at XJTLU. </p><p>&nbsp;</p><p><strong>Informed Consent Statements</strong></p><ul><li>I confirm that I have read and have understood the information sheet dated 22 December 2024 for the above study. I have had the opportunity to consider the information, ask questions and have had these answered satisfactorily. </li><li>I understand that my participation is voluntary and that I am free to withdraw at any time without giving any reason, without my rights being affected. </li><li>I understand that results up to the period of withdrawal may be used. Additionally, because the survey is anonymous, it will not be possible to remove my data after the survey is submitted. </li></ul>",,26019,1,html-button-response,
26,Condition 1,0.0-2.0, ,9885,"In this experiment, you will see several sentences and answer questions about them. <br>For each sentence, you will choose either 'Yes' or 'No' based on the given context. <br>The experiment is conducted in fullscreen mode. <br>When you're ready to begin, please press the space bar.",,35906,2,html-keyboard-response,
26,Condition 1,0.0-3.0,,2283,,TRUE,39201,3,fullscreen,
26,Condition 1,0.0-4.0-0.0,0,7907,<p style='font-size: 25px;'>Daphne eats some of the cookies. <br>Would you conclude that Daphne did not eat all of the cookies?</p>,,47112,4,html-button-response,
26,Condition 1,0.0-4.0-0.1,0,8788,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,,55905,5,html-button-response,
26,Condition 1,0.0-4.0-0.2,1,9637,<p style='font-size: 25px;'>The weather is cool. <br>Would you conclude that the weather is not cold? </p>,,65544,6,html-button-response,
26,Condition 1,0.0-4.0-0.3,0,10049,<p style='font-size: 25px;'> The problem is hard. <br>Would you conclude that the problem is not unsolvable? </p>,,75595,7,html-button-response,
26,Condition 1,0.0-4.0-0.4,0,2242,<p style='font-size: 50px;'>Please choose 'Yes' for this question.</p>,,77842,8,html-button-response,
26,Condition 1,0.0-4.0-0.5,1,6517,<p style='font-size: 25px;'>Rowan is attractive. <br>Would you conclude that Rowan is not stunning? </p>,,84361,9,html-button-response,
26,Condition 1,0.0-4.0-0.6,1,5708,<p style='font-size: 25px;'>The box is small. <br>Would you conclude that the box is not tiny? </p>,,90076,10,html-button-response,
26,Condition 1,0.0-4.0-0.7,0,1562,<p style='font-size: 50px;'>Please choose 'Yes' for this question.</p>,,91639,11,html-button-response,
26,Condition 1,0.0-4.0-0.8,1,7499,<p style='font-size: 25px;'>The weather is cool. <br>Would you conclude that the weather is not cold? </p>,,99141,12,html-button-response,
26,Condition 1,0.0-4.0-0.9,0,4542,<p style='font-size: 25px;'>Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,,103685,13,html-button-response,
26,Condition 1,0.0-4.0-0.10,0,2871,<p style='font-size: 25px;'>Daphne eats some of the cookies. <br>Would you conclude that Daphne did not eat all of the cookies?</p>,,106558,14,html-button-response,
26,Condition 1,0.0-4.0-0.11,1,4353,<p style='font-size: 25px;'>Rowan is attractive. <br>Would you conclude that Rowan is not stunning? </p>,,110912,15,html-button-response,
26,Condition 1,0.0-4.0-0.12,0,6298,<p style='font-size: 25px;'> The problem is hard. <br>Would you conclude that the problem is not unsolvable? </p>,,117213,16,html-button-response,
26,Condition 1,0.0-4.0-0.13,0,6899,<p style='font-size: 25px;'>The box is small. <br>Would you conclude that the box is not tiny? </p>,,124116,17,html-button-response,
26,Condition 1,0.0-5.0-0.0,0,13582,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,,137702,18,html-button-response,
26,Condition 1,0.0-5.0-0.1,0,7482,<p style='font-size: 25px;'>A: Is the problem hard? <br>B: The problem is hard. <br>Would you conclude that the problem is not unsolvable? </p>,,145186,19,html-button-response,
26,Condition 1,0.0-5.0-0.2,0,5228,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,,150417,20,html-button-response,
26,Condition 1,0.0-5.0-0.3,0,4270,<p style='font-size: 25px;'>A: Is the weather cool? <br>B: The weather is cool. <br>Would you conclude that the weather is not cold?</p>,,154688,21,html-button-response,
26,Condition 1,0.0-5.0-0.4,1,8209,<p style='font-size: 25px;'>A: Is Rowan stunning? <br>B: Rowan is attractive. <br>Would you conclude that Rowan is not stunning?</p>,,162900,22,html-button-response,
26,Condition 1,0.0-5.0-0.5,0,9325,<p style='font-size: 25px;'>A: Is the box small? <br>B: The box is small. <br>Would you conclude that the box is not tiny?</p>,,172226,23,html-button-response,
26,Condition 1,0.0-5.0-0.6,1,1613,<p style='font-size: 50px;'>Please choose 'No' for this question.</p>,,173840,24,html-button-response,
26,Condition 1,0.0-5.0-0.7,0,4999,<p style='font-size: 25px;'>A: Did Daphne eat some of the cookies? <br>B: Daphne eats some of the cookies. <br>Would you conclude that Daphne did not eat all of the cookies?</p>,,178843,25,html-button-response,
26,Condition 1,0.0-5.0-0.8,1,6834,<p style='font-size: 25px;'>A: Is the box tiny? <br>B: The box is small. <br>Would you conclude that the box is not tiny? </p>,,185677,26,html-button-response,
26,Condition 1,0.0-5.0-0.9,1,8576,<p style='font-size: 25px;'>A: Is Rowan attractive? <br>B: Rowan is attractive. <br>Would you conclude that Rowan is not stunning?</p>,,194255,27,html-button-response,
26,Condition 1,0.0-5.0-0.10,1,6408,<p style='font-size: 25px;'>A: Is the weather cold? <br>B: The weather is cool. <br>Would you conclude that the weather is not cold? </p>,,200665,28,html-button-response,
26,Condition 1,0.0-5.0-0.11,0,16612,<p style='font-size: 25px;'>A: Is the problem unsolvable? <br>B: The problem is hard. <br>Would you conclude that the problem is not unsolvable? </p>,,217278,29,html-button-response,
26,Condition 1,0.0-5.0-0.12,0,2326,<p style='font-size: 25px;'>A: Did Daphne eat all of the cookies? <br>B: Daphne eats some of the cookies. <br>Would you conclude that Daphne did not eat all of the cookies?</p>,,219610,30,html-button-response,
26,Condition 1,0.0-5.0-0.13,0,9355,<p style='font-size: 25px;'>A: Is the problem unsolvable? <br>B: The problem is hard. <br>Would you conclude that the problem is not unsolvable? </p>,,228967,31,html-button-response,
26,Condition 1,0.0-5.0-0.14,0,5652,<p style='font-size: 25px;'>A: Did Daphne eat some of the cookies? <br>B: Daphne eats some of the cookies. <br>Would you conclude that Daphne did not eat all of the cookies?</p>,,234621,32,html-button-response,
26,Condition 1,0.0-5.0-0.15,0,1989,<p style='font-size: 25px;'>A: Does Robin sometimes stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,,236611,33,html-button-response,
26,Condition 1,0.0-5.0-0.16,1,4939,<p style='font-size: 25px;'>A: Is Rowan attractive? <br>B: Rowan is attractive. <br>Would you conclude that Rowan is not stunning?</p>,,241559,34,html-button-response,
26,Condition 1,0.0-5.0-0.17,0,4301,<p style='font-size: 25px;'>A: Does Robin always stay up late? <br>B: Robin sometimes stays up late. <br>Would you conclude that Robin doesn't always stay up late?</p>,,245863,35,html-button-response,
26,Condition 1,0.0-5.0-0.18,1,8501,<p style='font-size: 25px;'>A: Is the weather cold? <br>B: The weather is cool. <br>Would you conclude that the weather is not cold? </p>,,254367,36,html-button-response,
26,Condition 1,0.0-5.0-0.19,1,3836,<p style='font-size: 25px;'>A: Is the weather cool? <br>B: The weather is cool. <br>Would you conclude that the weather is not cold?</p>,,258204,37,html-button-response,
26,Condition 1,0.0-5.0-0.20,0,7824,<p style='font-size: 25px;'>A: Is the problem hard? <br>B: The problem is hard. <br>Would you conclude that the problem is not unsolvable? </p>,,266030,38,html-button-response,
26,Condition 1,0.0-5.0-0.21,0,2533,<p style='font-size: 25px;'>A: Did Daphne eat all of the cookies? <br>B: Daphne eats some of the cookies. <br>Would you conclude that Daphne did not eat all of the cookies?</p>,,268568,39,html-button-response,
26,Condition 1,0.0-5.0-0.22,1,1753,<p style='font-size: 50px;'>Please choose 'No' for this question.</p>,,270320,40,html-button-response,
26,Condition 1,0.0-5.0-0.23,1,7437,<p style='font-size: 25px;'>A: Is the box small? <br>B: The box is small. <br>Would you conclude that the box is not tiny?</p>,,277760,41,html-button-response,
26,Condition 1,0.0-5.0-0.24,1,1402,<p style='font-size: 25px;'>A: Is the box tiny? <br>B: The box is small. <br>Would you conclude that the box is not tiny? </p>,,279163,42,html-button-response,
26,Condition 1,0.0-5.0-0.25,1,11095,<p style='font-size: 25px;'>A: Is Rowan stunning? <br>B: Rowan is attractive. <br>Would you conclude that Rowan is not stunning?</p>,,290260,43,html-button-response,
26,Condition 1,0.0-6.0,,,,TRUE,291278,44,fullscreen,
26,Condition 1,0.0-7.0,{'Comment': 'Everything worked well.'},12725,,,304020,45,survey-text,
26,Condition 1,0.0-8.0,,,"<p style=""font-size: 25px;"">Thank you for your participation.<br>This is the end of the experiment and you will now be redirected to Prolific.</p>",,308034,46,html-keyboard-response,
